ConcatUF+Mun,IBGE,IBGE7,UF,Município,Região
CEMorrinhos,230890,2308906,CE,Morrinhos,Região Nordeste
CEMucambo,230900,2309003,CE,Mucambo,Região Nordeste
CEMulungu,230910,2309102,CE,Mulungu,Região Nordeste
CENova Olinda,230920,2309201,CE,Nova Olinda,Região Nordeste
CENova Russas,230930,2309300,CE,Nova Russas,Região Nordeste
CENovo Oriente,230940,2309409,CE,Novo Oriente,Região Nordeste
CEOcara,230945,2309458,CE,Ocara,Região Nordeste
CEOrós,230950,2309508,CE,Orós,Região Nordeste
CEPacajus,230960,2309607,CE,Pacajus,Região Nordeste
CEPacatuba,230970,2309706,CE,Pacatuba,Região Nordeste
CEPacoti,230980,2309805,CE,Pacoti,Região Nordeste
CEPacujá,230990,2309904,CE,Pacujá,Região Nordeste
CEPalhano,231000,2310001,CE,Palhano,Região Nordeste
CEPalmácia,231010,2310100,CE,Palmácia,Região Nordeste
CEParacuru,231020,2310209,CE,Paracuru,Região Nordeste
CEParaipaba,231025,2310258,CE,Paraipaba,Região Nordeste
CEParambu,231030,2310308,CE,Parambu,Região Nordeste
CEParamoti,231040,2310407,CE,Paramoti,Região Nordeste
CEPedra Branca,231050,2310506,CE,Pedra Branca,Região Nordeste
CEPenaforte,231060,2310605,CE,Penaforte,Região Nordeste
CEPentecoste,231070,2310704,CE,Pentecoste,Região Nordeste
CEPereiro,231080,2310803,CE,Pereiro,Região Nordeste
CEPindoretama,231085,2310852,CE,Pindoretama,Região Nordeste
CEPiquet Carneiro,231090,2310902,CE,Piquet Carneiro,Região Nordeste
CEPires Ferreira,231095,2310951,CE,Pires Ferreira,Região Nordeste
CEPoranga,231100,2311009,CE,Poranga,Região Nordeste
CEPorteiras,231110,2311108,CE,Porteiras,Região Nordeste
CEPotengi,231120,2311207,CE,Potengi,Região Nordeste
CEPotiretama,231123,2311231,CE,Potiretama,Região Nordeste
CEQuiterianópolis,231126,2311264,CE,Quiterianópolis,Região Nordeste
CEQuixadá,231130,2311306,CE,Quixadá,Região Nordeste
CEQuixelô,231135,2311355,CE,Quixelô,Região Nordeste
CEQuixeramobim,231140,2311405,CE,Quixeramobim,Região Nordeste
CEQuixeré,231150,2311504,CE,Quixeré,Região Nordeste
CERedenção,231160,2311603,CE,Redenção,Região Nordeste
CEReriutaba,231170,2311702,CE,Reriutaba,Região Nordeste
CERussas,231180,2311801,CE,Russas,Região Nordeste
CESaboeiro,231190,2311900,CE,Saboeiro,Região Nordeste
CESalitre,231195,2311959,CE,Salitre,Região Nordeste
CESantana do Acaraú,231200,2312007,CE,Santana do Acaraú,Região Nordeste
CESantana do Cariri,231210,2312106,CE,Santana do Cariri,Região Nordeste
CESanta Quitéria,231220,2312205,CE,Santa Quitéria,Região Nordeste
CESão Benedito,231230,2312304,CE,São Benedito,Região Nordeste
CESão Gonçalo do Amarante,231240,2312403,CE,São Gonçalo do Amarante,Região Nordeste
CESão João do Jaguaribe,231250,2312502,CE,São João do Jaguaribe,Região Nordeste
CESão Luís do Curu,231260,2312601,CE,São Luís do Curu,Região Nordeste
CESenador Pompeu,231270,2312700,CE,Senador Pompeu,Região Nordeste
CESenador sá,231280,2312809,CE,Senador sá,Região Nordeste
CESobral,231290,2312908,CE,Sobral,Região Nordeste
CESolonópole,231300,2313005,CE,Solonópole,Região Nordeste
CETabuleiro do Norte,231310,2313104,CE,Tabuleiro do Norte,Região Nordeste
CETamboril,231320,2313203,CE,Tamboril,Região Nordeste
CETarrafas,231325,2313252,CE,Tarrafas,Região Nordeste
CETauá,231330,2313302,CE,Tauá,Região Nordeste
CETejuçuoca,231335,2313351,CE,Tejuçuoca,Região Nordeste
CETianguá,231340,2313401,CE,Tianguá,Região Nordeste
CETrairi,231350,2313500,CE,Trairi,Região Nordeste
CETururu,231355,2313559,CE,Tururu,Região Nordeste
CEUbajara,231360,2313609,CE,Ubajara,Região Nordeste
CEUmari,231370,2313708,CE,Umari,Região Nordeste
CEUmirim,231375,2313757,CE,Umirim,Região Nordeste
CEUruburetama,231380,2313807,CE,Uruburetama,Região Nordeste
CEUruoca,231390,2313906,CE,Uruoca,Região Nordeste
CEVarjota,231395,2313955,CE,Varjota,Região Nordeste
CEVárzea Alegre,231400,2314003,CE,Várzea Alegre,Região Nordeste
CEViçosa do Ceará,231410,2314102,CE,Viçosa do Ceará,Região Nordeste
RNAcari,240010,2400109,RN,Acari,Região Nordeste
RNAçu,240020,2400208,RN,Açu,Região Nordeste
RNAfonso Bezerra,240030,2400307,RN,Afonso Bezerra,Região Nordeste
RNÁgua Nova,240040,2400406,RN,Água Nova,Região Nordeste
RNAlexandria,240050,2400505,RN,Alexandria,Região Nordeste
RNAlmino Afonso,240060,2400604,RN,Almino Afonso,Região Nordeste
RNAlto do Rodrigues,240070,2400703,RN,Alto do Rodrigues,Região Nordeste
RNAngicos,240080,2400802,RN,Angicos,Região Nordeste
RNAntônio Martins,240090,2400901,RN,Antônio Martins,Região Nordeste
RNApodi,240100,2401008,RN,Apodi,Região Nordeste
RNAreia Branca,240110,2401107,RN,Areia Branca,Região Nordeste
RNArês,240120,2401206,RN,Arês,Região Nordeste
RNAugusto Severo,240130,2401305,RN,Augusto Severo,Região Nordeste
RNBaía Formosa,240140,2401404,RN,Baía Formosa,Região Nordeste
RNBaraúna,240145,2401453,RN,Baraúna,Região Nordeste
RNBarcelona,240150,2401503,RN,Barcelona,Região Nordeste
RNBento Fernandes,240160,2401602,RN,Bento Fernandes,Região Nordeste
RNBodó,240165,2401651,RN,Bodó,Região Nordeste
RNBom Jesus,240170,2401701,RN,Bom Jesus,Região Nordeste
RNBrejinho,240180,2401800,RN,Brejinho,Região Nordeste
RNCaiçara do Norte,240185,2401859,RN,Caiçara do Norte,Região Nordeste
RNCaiçara do Rio do Vento,240190,2401909,RN,Caiçara do Rio do Vento,Região Nordeste
RNCaicó,240200,2402006,RN,Caicó,Região Nordeste
RNCampo Redondo,240210,2402105,RN,Campo Redondo,Região Nordeste
RNCanguaretama,240220,2402204,RN,Canguaretama,Região Nordeste
RNCaraúbas,240230,2402303,RN,Caraúbas,Região Nordeste
RNCarnaúba Dos Dantas,240240,2402402,RN,Carnaúba Dos Dantas,Região Nordeste
RNCarnaubais,240250,2402501,RN,Carnaubais,Região Nordeste
RNCeará-mirim,240260,2402600,RN,Ceará-mirim,Região Nordeste
RNCerro Corá,240270,2402709,RN,Cerro Corá,Região Nordeste
RNCoronel Ezequiel,240280,2402808,RN,Coronel Ezequiel,Região Nordeste
RNCoronel João Pessoa,240290,2402907,RN,Coronel João Pessoa,Região Nordeste
RNCruzeta,240300,2403004,RN,Cruzeta,Região Nordeste
RNCurrais Novos,240310,2403103,RN,Currais Novos,Região Nordeste
RNDoutor Severiano,240320,2403202,RN,Doutor Severiano,Região Nordeste
RNParnamirim,240325,2403251,RN,Parnamirim,Região Nordeste
RNEncanto,240330,2403301,RN,Encanto,Região Nordeste
RNEquador,240340,2403400,RN,Equador,Região Nordeste
RNEspírito Santo,240350,2403509,RN,Espírito Santo,Região Nordeste
RNExtremoz,240360,2403608,RN,Extremoz,Região Nordeste
RNFelipe Guerra,240370,2403707,RN,Felipe Guerra,Região Nordeste
RNFernando Pedroza,240375,2403756,RN,Fernando Pedroza,Região Nordeste
RNFlorânia,240380,2403806,RN,Florânia,Região Nordeste
RNFrancisco Dantas,240390,2403905,RN,Francisco Dantas,Região Nordeste
RNFrutuoso Gomes,240400,2404002,RN,Frutuoso Gomes,Região Nordeste
RNGalinhos,240410,2404101,RN,Galinhos,Região Nordeste
RNGoianinha,240420,2404200,RN,Goianinha,Região Nordeste
RNGovernador Dix-sept Rosado,240430,2404309,RN,Governador Dix-sept Rosado,Região Nordeste
RNGrossos,240440,2404408,RN,Grossos,Região Nordeste
RNGuamaré,240450,2404507,RN,Guamaré,Região Nordeste
RNIelmo Marinho,240460,2404606,RN,Ielmo Marinho,Região Nordeste
RNIpanguaçu,240470,2404705,RN,Ipanguaçu,Região Nordeste
RNIpueira,240480,2404804,RN,Ipueira,Região Nordeste
RNItajá,240485,2404853,RN,Itajá,Região Nordeste
RNItaú,240490,2404903,RN,Itaú,Região Nordeste
RNJaçanã,240500,2405009,RN,Jaçanã,Região Nordeste
RNJandaíra,240510,2405108,RN,Jandaíra,Região Nordeste
RNJanduís,240520,2405207,RN,Janduís,Região Nordeste
RNJanuário Cicco,240530,2405306,RN,Januário Cicco,Região Nordeste
RNJapi,240540,2405405,RN,Japi,Região Nordeste
RNJardim de Angicos,240550,2405504,RN,Jardim de Angicos,Região Nordeste
RNJardim de Piranhas,240560,2405603,RN,Jardim de Piranhas,Região Nordeste
RNJardim do Seridó,240570,2405702,RN,Jardim do Seridó,Região Nordeste
RNJoão Câmara,240580,2405801,RN,João Câmara,Região Nordeste
RNJoão Dias,240590,2405900,RN,João Dias,Região Nordeste
RNJosé da Penha,240600,2406007,RN,José da Penha,Região Nordeste
RNJucurutu,240610,2406106,RN,Jucurutu,Região Nordeste
RNJundiá,240615,2406155,RN,Jundiá,Região Nordeste
RNLagoa D'anta,240620,2406205,RN,Lagoa D´anta,Região Nordeste
RNLagoa de Pedras,240630,2406304,RN,Lagoa de Pedras,Região Nordeste
RNLagoa de Velhos,240640,2406403,RN,Lagoa de Velhos,Região Nordeste
RNLagoa Nova,240650,2406502,RN,Lagoa Nova,Região Nordeste
RNLagoa Salgada,240660,2406601,RN,Lagoa Salgada,Região Nordeste
RNLajes,240670,2406700,RN,Lajes,Região Nordeste
RNLajes Pintadas,240680,2406809,RN,Lajes Pintadas,Região Nordeste
RNLucrécia,240690,2406908,RN,Lucrécia,Região Nordeste
RNLuís Gomes,240700,2407005,RN,Luís Gomes,Região Nordeste
RNMacaíba,240710,2407104,RN,Macaíba,Região Nordeste
RNMacau,240720,2407203,RN,Macau,Região Nordeste
RNMajor Sales,240725,2407252,RN,Major Sales,Região Nordeste
RNMarcelino Vieira,240730,2407302,RN,Marcelino Vieira,Região Nordeste
RNMartins,240740,2407401,RN,Martins,Região Nordeste
RNMaxaranguape,240750,2407500,RN,Maxaranguape,Região Nordeste
RNMessias Targino,240760,2407609,RN,Messias Targino,Região Nordeste
RNMontanhas,240770,2407708,RN,Montanhas,Região Nordeste
RNMonte Alegre,240780,2407807,RN,Monte Alegre,Região Nordeste
RNMonte Das Gameleiras,240790,2407906,RN,Monte Das Gameleiras,Região Nordeste
RNMossoró,240800,2408003,RN,Mossoró,Região Nordeste
RNNatal,240810,2408102,RN,Natal,Região Nordeste
RNNísia Floresta,240820,2408201,RN,Nísia Floresta,Região Nordeste
RNNova Cruz,240830,2408300,RN,Nova Cruz,Região Nordeste
RNOlho-d'água do Borges,240840,2408409,RN,Olho-d´água do Borges,Região Nordeste
RNOuro Branco,240850,2408508,RN,Ouro Branco,Região Nordeste
RNParaná,240860,2408607,RN,Paraná,Região Nordeste
RNParaú,240870,2408706,RN,Paraú,Região Nordeste
RNParazinho,240880,2408805,RN,Parazinho,Região Nordeste
RNParelhas,240890,2408904,RN,Parelhas,Região Nordeste
RNRio do Fogo,240895,2408953,RN,Rio do Fogo,Região Nordeste
RNPassa e Fica,240910,2409100,RN,Passa e Fica,Região Nordeste
RNPassagem,240920,2409209,RN,Passagem,Região Nordeste
RNPatu,240930,2409308,RN,Patu,Região Nordeste
RNSanta Maria,240933,2409332,RN,Santa Maria,Região Nordeste
RNPau Dos Ferros,240940,2409407,RN,Pau Dos Ferros,Região Nordeste
RNPedra Grande,240950,2409506,RN,Pedra Grande,Região Nordeste
RNPedra Preta,240960,2409605,RN,Pedra Preta,Região Nordeste
RNPedro Avelino,240970,2409704,RN,Pedro Avelino,Região Nordeste
RNPedro Velho,240980,2409803,RN,Pedro Velho,Região Nordeste
RNPendências,240990,2409902,RN,Pendências,Região Nordeste
RNPilões,241000,2410009,RN,Pilões,Região Nordeste
RNPoço Branco,241010,2410108,RN,Poço Branco,Região Nordeste
RNPortalegre,241020,2410207,RN,Portalegre,Região Nordeste
RNPorto do Mangue,241025,2410256,RN,Porto do Mangue,Região Nordeste
RNPresidente Juscelino,241030,2410306,RN,Presidente Juscelino,Região Nordeste
RNPureza,241040,2410405,RN,Pureza,Região Nordeste
RNRafael Fernandes,241050,2410504,RN,Rafael Fernandes,Região Nordeste
RNRafael Godeiro,241060,2410603,RN,Rafael Godeiro,Região Nordeste
RNRiacho da Cruz,241070,2410702,RN,Riacho da Cruz,Região Nordeste
RNRiacho de Santana,241080,2410801,RN,Riacho de Santana,Região Nordeste
RNRiachuelo,241090,2410900,RN,Riachuelo,Região Nordeste
RNRodolfo Fernandes,241100,2411007,RN,Rodolfo Fernandes,Região Nordeste
RNTibau,241105,2411056,RN,Tibau,Região Nordeste
RNRuy Barbosa,241110,2411106,RN,Ruy Barbosa,Região Nordeste
RNSanta Cruz,241120,2411205,RN,Santa Cruz,Região Nordeste
RNSantana do Matos,241140,2411403,RN,Santana do Matos,Região Nordeste
RNSantana do Seridó,241142,2411429,RN,Santana do Seridó,Região Nordeste
RNSanto Antônio,241150,2411502,RN,Santo Antônio,Região Nordeste
RNSão Bento do Norte,241160,2411601,RN,São Bento do Norte,Região Nordeste
RNSão Bento do Trairí,241170,2411700,RN,São Bento do Trairí,Região Nordeste
RNSão Fernando,241180,2411809,RN,São Fernando,Região Nordeste
RNSão Francisco do Oeste,241190,2411908,RN,São Francisco do Oeste,Região Nordeste
RNSão Gonçalo do Amarante,241200,2412005,RN,São Gonçalo do Amarante,Região Nordeste
RNSão João do Sabugi,241210,2412104,RN,São João do Sabugi,Região Nordeste
RNSão José de Mipibu,241220,2412203,RN,São José de Mipibu,Região Nordeste
RNSão José do Campestre,241230,2412302,RN,São José do Campestre,Região Nordeste
RNSão José do Seridó,241240,2412401,RN,São José do Seridó,Região Nordeste
RNSão Miguel,241250,2412500,RN,São Miguel,Região Nordeste
RNSão Miguel do Gostoso,241255,2412559,RN,São Miguel do Gostoso,Região Nordeste
RNSão Paulo do Potengi,241260,2412609,RN,São Paulo do Potengi,Região Nordeste
RNSão Pedro,241270,2412708,RN,São Pedro,Região Nordeste
RNSão Rafael,241280,2412807,RN,São Rafael,Região Nordeste
RNSão Tomé,241290,2412906,RN,São Tomé,Região Nordeste
RNSão Vicente,241300,2413003,RN,São Vicente,Região Nordeste
RNSenador Elói de Souza,241310,2413102,RN,Senador Elói de Souza,Região Nordeste
RNSenador Georgino Avelino,241320,2413201,RN,Senador Georgino Avelino,Região Nordeste
RNSerra de São Bento,241330,2413300,RN,Serra de São Bento,Região Nordeste
RNSerra do Mel,241335,2413359,RN,Serra do Mel,Região Nordeste
RNSerra Negra do Norte,241340,2413409,RN,Serra Negra do Norte,Região Nordeste
RNSerrinha,241350,2413508,RN,Serrinha,Região Nordeste
RNSerrinha Dos Pintos,241355,2413557,RN,Serrinha Dos Pintos,Região Nordeste
RNSeveriano Melo,241360,2413607,RN,Severiano Melo,Região Nordeste
RNSítio Novo,241370,2413706,RN,Sítio Novo,Região Nordeste
RNTaboleiro Grande,241380,2413805,RN,Taboleiro Grande,Região Nordeste
RNTaipu,241390,2413904,RN,Taipu,Região Nordeste
RNTangará,241400,2414001,RN,Tangará,Região Nordeste
RNTenente Ananias,241410,2414100,RN,Tenente Ananias,Região Nordeste
RNTenente Laurentino Cruz,241415,2414159,RN,Tenente Laurentino Cruz,Região Nordeste
RNTibau do Sul,241420,2414209,RN,Tibau do Sul,Região Nordeste
RNTimbaúba Dos Batistas,241430,2414308,RN,Timbaúba Dos Batistas,Região Nordeste
RNTouros,241440,2414407,RN,Touros,Região Nordeste
RNTriunfo Potiguar,241445,2414456,RN,Triunfo Potiguar,Região Nordeste
RNUmarizal,241450,2414506,RN,Umarizal,Região Nordeste
RNUpanema,241460,2414605,RN,Upanema,Região Nordeste
RNVárzea,241470,2414704,RN,Várzea,Região Nordeste
RNVenha-ver,241475,2414753,RN,Venha-ver,Região Nordeste
RNVera Cruz,241480,2414803,RN,Vera Cruz,Região Nordeste
RNViçosa,241490,2414902,RN,Viçosa,Região Nordeste
RNVila Flor,241500,2415008,RN,Vila Flor,Região Nordeste
PBÁgua Branca,250010,2500106,PB,Água Branca,Região Nordeste
PBAguiar,250020,2500205,PB,Aguiar,Região Nordeste
PBAlagoa Grande,250030,2500304,PB,Alagoa Grande,Região Nordeste
PBAlagoa Nova,250040,2500403,PB,Alagoa Nova,Região Nordeste
PBAlagoinha,250050,2500502,PB,Alagoinha,Região Nordeste
PBAlcantil,250053,2500536,PB,Alcantil,Região Nordeste
PBAlgodão de Jandaíra,250057,2500577,PB,Algodão de Jandaíra,Região Nordeste
PBAlhandra,250060,2500601,PB,Alhandra,Região Nordeste
PBSão João do Rio do Peixe,250070,2500700,PB,São João do Rio do Peixe,Região Nordeste
PBAmparo,250073,2500734,PB,Amparo,Região Nordeste
PBAparecida,250077,2500775,PB,Aparecida,Região Nordeste
PBAraçagi,250080,2500809,PB,Araçagi,Região Nordeste
PBArara,250090,2500908,PB,Arara,Região Nordeste
PBAraruna,250100,2501005,PB,Araruna,Região Nordeste
PBAreia,250110,2501104,PB,Areia,Região Nordeste
PBAreia de Baraúnas,250115,2501153,PB,Areia de Baraúnas,Região Nordeste
PBAreial,250120,2501203,PB,Areial,Região Nordeste
PBAroeiras,250130,2501302,PB,Aroeiras,Região Nordeste
PBAssunção,250135,2501351,PB,Assunção,Região Nordeste
PBBaía da Traição,250140,2501401,PB,Baía da Traição,Região Nordeste
PBBananeiras,250150,2501500,PB,Bananeiras,Região Nordeste
PBBaraúna,250153,2501534,PB,Baraúna,Região Nordeste
PBBarra de Santana,250157,2501575,PB,Barra de Santana,Região Nordeste
PBBarra de Santa Rosa,250160,2501609,PB,Barra de Santa Rosa,Região Nordeste
PBBarra de São Miguel,250170,2501708,PB,Barra de São Miguel,Região Nordeste
PBBayeux,250180,2501807,PB,Bayeux,Região Nordeste
PBBelém,250190,2501906,PB,Belém,Região Nordeste
PBBelém do Brejo do Cruz,250200,2502003,PB,Belém do Brejo do Cruz,Região Nordeste
PBBernardino Batista,250205,2502052,PB,Bernardino Batista,Região Nordeste
PBBoa Ventura,250210,2502102,PB,Boa Ventura,Região Nordeste
PBBoa Vista,250215,2502151,PB,Boa Vista,Região Nordeste
PBBom Jesus,250220,2502201,PB,Bom Jesus,Região Nordeste
PBBom Sucesso,250230,2502300,PB,Bom Sucesso,Região Nordeste
PBBonito de Santa fé,250240,2502409,PB,Bonito de Santa fé,Região Nordeste
PBBoqueirão,250250,2502508,PB,Boqueirão,Região Nordeste
PBIgaracy,250260,2502607,PB,Igaracy,Região Nordeste
PBBorborema,250270,2502706,PB,Borborema,Região Nordeste
PBBrejo do Cruz,250280,2502805,PB,Brejo do Cruz,Região Nordeste
PBBrejo Dos Santos,250290,2502904,PB,Brejo Dos Santos,Região Nordeste
PBCaaporã,250300,2503001,PB,Caaporã,Região Nordeste
PBCabaceiras,250310,2503100,PB,Cabaceiras,Região Nordeste
PBCabedelo,250320,2503209,PB,Cabedelo,Região Nordeste
PBCachoeira Dos Índios,250330,2503308,PB,Cachoeira Dos Índios,Região Nordeste
PBCacimba de Areia,250340,2503407,PB,Cacimba de Areia,Região Nordeste
PBCacimba de Dentro,250350,2503506,PB,Cacimba de Dentro,Região Nordeste
PBCacimbas,250355,2503555,PB,Cacimbas,Região Nordeste
PBCaiçara,250360,2503605,PB,Caiçara,Região Nordeste
PBCajazeiras,250370,2503704,PB,Cajazeiras,Região Nordeste
PBCajazeirinhas,250375,2503753,PB,Cajazeirinhas,Região Nordeste
PBCaldas Brandão,250380,2503803,PB,Caldas Brandão,Região Nordeste
PBCamalaú,250390,2503902,PB,Camalaú,Região Nordeste
PBCampina Grande,250400,2504009,PB,Campina Grande,Região Nordeste
PBCapim,250403,2504033,PB,Capim,Região Nordeste
PBCaraúbas,250407,2504074,PB,Caraúbas,Região Nordeste
PBCarrapateira,250410,2504108,PB,Carrapateira,Região Nordeste
PBCasserengue,250415,2504157,PB,Casserengue,Região Nordeste
PBCatingueira,250420,2504207,PB,Catingueira,Região Nordeste
PBCatolé do Rocha,250430,2504306,PB,Catolé do Rocha,Região Nordeste
PBCaturité,250435,2504355,PB,Caturité,Região Nordeste
PBConceição,250440,2504405,PB,Conceição,Região Nordeste
PBCondado,250450,2504504,PB,Condado,Região Nordeste
PBConde,250460,2504603,PB,Conde,Região Nordeste
PBCongo,250470,2504702,PB,Congo,Região Nordeste
PBCoremas,250480,2504801,PB,Coremas,Região Nordeste
PBCoxixola,250485,2504850,PB,Coxixola,Região Nordeste
PBCruz do Espírito Santo,250490,2504900,PB,Cruz do Espírito Santo,Região Nordeste
PBCubati,250500,2505006,PB,Cubati,Região Nordeste
PBCuité,250510,2505105,PB,Cuité,Região Nordeste
PBCuitegi,250520,2505204,PB,Cuitegi,Região Nordeste
PBCuité de Mamanguape,250523,2505238,PB,Cuité de Mamanguape,Região Nordeste
PBCurral de Cima,250527,2505279,PB,Curral de Cima,Região Nordeste
PBCurral Velho,250530,2505303,PB,Curral Velho,Região Nordeste
PBDamião,250535,2505352,PB,Damião,Região Nordeste
PBDesterro,250540,2505402,PB,Desterro,Região Nordeste
PBVista Serrana,250550,2505501,PB,Vista Serrana,Região Nordeste
PBDiamante,250560,2505600,PB,Diamante,Região Nordeste
PBDona Inês,250570,2505709,PB,Dona Inês,Região Nordeste
PBDuas Estradas,250580,2505808,PB,Duas Estradas,Região Nordeste
PBEmas,250590,2505907,PB,Emas,Região Nordeste
PBEsperança,250600,2506004,PB,Esperança,Região Nordeste
PBFagundes,250610,2506103,PB,Fagundes,Região Nordeste
PBFrei Martinho,250620,2506202,PB,Frei Martinho,Região Nordeste
PBGado Bravo,250625,2506251,PB,Gado Bravo,Região Nordeste
PBGuarabira,250630,2506301,PB,Guarabira,Região Nordeste
PBGurinhém,250640,2506400,PB,Gurinhém,Região Nordeste
PBGurjão,250650,2506509,PB,Gurjão,Região Nordeste
PBIbiara,250660,2506608,PB,Ibiara,Região Nordeste
PBImaculada,250670,2506707,PB,Imaculada,Região Nordeste
PBIngá,250680,2506806,PB,Ingá,Região Nordeste
PBItabaiana,250690,2506905,PB,Itabaiana,Região Nordeste
PBItaporanga,250700,2507002,PB,Itaporanga,Região Nordeste
PBItapororoca,250710,2507101,PB,Itapororoca,Região Nordeste
PBItatuba,250720,2507200,PB,Itatuba,Região Nordeste
PBJacaraú,250730,2507309,PB,Jacaraú,Região Nordeste
PBJericó,250740,2507408,PB,Jericó,Região Nordeste
PBJoão Pessoa,250750,2507507,PB,João Pessoa,Região Nordeste
PBJuarez Távora,250760,2507606,PB,Juarez Távora,Região Nordeste
PBJuazeirinho,250770,2507705,PB,Juazeirinho,Região Nordeste
PBJunco do Seridó,250780,2507804,PB,Junco do Seridó,Região Nordeste
PBJuripiranga,250790,2507903,PB,Juripiranga,Região Nordeste
PBJuru,250800,2508000,PB,Juru,Região Nordeste
PBLagoa,250810,2508109,PB,Lagoa,Região Nordeste
PBLagoa de Dentro,250820,2508208,PB,Lagoa de Dentro,Região Nordeste
PBLagoa Seca,250830,2508307,PB,Lagoa Seca,Região Nordeste
PBLastro,250840,2508406,PB,Lastro,Região Nordeste
PBLivramento,250850,2508505,PB,Livramento,Região Nordeste
PBLogradouro,250855,2508554,PB,Logradouro,Região Nordeste
PBLucena,250860,2508604,PB,Lucena,Região Nordeste
PBMãe D'água,250870,2508703,PB,Mãe D´água,Região Nordeste
PBMalta,250880,2508802,PB,Malta,Região Nordeste
PBMamanguape,250890,2508901,PB,Mamanguape,Região Nordeste
PBManaíra,250900,2509008,PB,Manaíra,Região Nordeste
PBMarcação,250905,2509057,PB,Marcação,Região Nordeste
PBMari,250910,2509107,PB,Mari,Região Nordeste
PBMarizópolis,250915,2509156,PB,Marizópolis,Região Nordeste
PBMassaranduba,250920,2509206,PB,Massaranduba,Região Nordeste
PBMataraca,250930,2509305,PB,Mataraca,Região Nordeste
PBMatinhas,250933,2509339,PB,Matinhas,Região Nordeste
PBMato Grosso,250937,2509370,PB,Mato Grosso,Região Nordeste
PBMaturéia,250939,2509396,PB,Maturéia,Região Nordeste
PBMogeiro,250940,2509404,PB,Mogeiro,Região Nordeste
PBMontadas,250950,2509503,PB,Montadas,Região Nordeste
PBMonte Horebe,250960,2509602,PB,Monte Horebe,Região Nordeste
PBMonteiro,250970,2509701,PB,Monteiro,Região Nordeste
PBMulungu,250980,2509800,PB,Mulungu,Região Nordeste
PBNatuba,250990,2509909,PB,Natuba,Região Nordeste
PBNazarezinho,251000,2510006,PB,Nazarezinho,Região Nordeste
PBNova Floresta,251010,2510105,PB,Nova Floresta,Região Nordeste
PBNova Olinda,251020,2510204,PB,Nova Olinda,Região Nordeste
PBNova Palmeira,251030,2510303,PB,Nova Palmeira,Região Nordeste
PBOlho D'água,251040,2510402,PB,Olho D´água,Região Nordeste
PBOlivedos,251050,2510501,PB,Olivedos,Região Nordeste
PBOuro Velho,251060,2510600,PB,Ouro Velho,Região Nordeste
PBParari,251065,2510659,PB,Parari,Região Nordeste
PBPassagem,251070,2510709,PB,Passagem,Região Nordeste
PBPatos,251080,2510808,PB,Patos,Região Nordeste
PBPaulista,251090,2510907,PB,Paulista,Região Nordeste
PBPedra Branca,251100,2511004,PB,Pedra Branca,Região Nordeste
PBPedra Lavrada,251110,2511103,PB,Pedra Lavrada,Região Nordeste
PBPedras de Fogo,251120,2511202,PB,Pedras de Fogo,Região Nordeste
PBPiancó,251130,2511301,PB,Piancó,Região Nordeste
PBPicuí,251140,2511400,PB,Picuí,Região Nordeste
PBPilar,251150,2511509,PB,Pilar,Região Nordeste
PBPilões,251160,2511608,PB,Pilões,Região Nordeste
PBPilõezinhos,251170,2511707,PB,Pilõezinhos,Região Nordeste
PBPirpirituba,251180,2511806,PB,Pirpirituba,Região Nordeste
PBPitimbu,251190,2511905,PB,Pitimbu,Região Nordeste
PBPocinhos,251200,2512002,PB,Pocinhos,Região Nordeste
PBPoço Dantas,251203,2512036,PB,Poço Dantas,Região Nordeste
PBPoço de José de Moura,251207,2512077,PB,Poço de José de Moura,Região Nordeste
PBPombal,251210,2512101,PB,Pombal,Região Nordeste
PBPrata,251220,2512200,PB,Prata,Região Nordeste
PBPrincesa Isabel,251230,2512309,PB,Princesa Isabel,Região Nordeste
PBPuxinanã,251240,2512408,PB,Puxinanã,Região Nordeste
PBQueimadas,251250,2512507,PB,Queimadas,Região Nordeste
PBQuixabá,251260,2512606,PB,Quixabá,Região Nordeste
PBRemígio,251270,2512705,PB,Remígio,Região Nordeste
PBPedro Régis,251272,2512721,PB,Pedro Régis,Região Nordeste
PBRiachão,251274,2512747,PB,Riachão,Região Nordeste
PBRiachão do Bacamarte,251275,2512754,PB,Riachão do Bacamarte,Região Nordeste
PBRiachão do Poço,251276,2512762,PB,Riachão do Poço,Região Nordeste
PBRiacho de Santo Antônio,251278,2512788,PB,Riacho de Santo Antônio,Região Nordeste
PBRiacho Dos Cavalos,251280,2512804,PB,Riacho Dos Cavalos,Região Nordeste
PBRio Tinto,251290,2512903,PB,Rio Tinto,Região Nordeste
PBSalgadinho,251300,2513000,PB,Salgadinho,Região Nordeste
PBSalgado de São Félix,251310,2513109,PB,Salgado de São Félix,Região Nordeste
PBSanta Cecília,251315,2513158,PB,Santa Cecília,Região Nordeste
PBSanta Cruz,251320,2513208,PB,Santa Cruz,Região Nordeste
PBSanta Helena,251330,2513307,PB,Santa Helena,Região Nordeste
PBSanta Inês,251335,2513356,PB,Santa Inês,Região Nordeste
PBSanta Luzia,251340,2513406,PB,Santa Luzia,Região Nordeste
PBSantana de Mangueira,251350,2513505,PB,Santana de Mangueira,Região Nordeste
PBSantana Dos Garrotes,251360,2513604,PB,Santana Dos Garrotes,Região Nordeste
